,Factor,Mutual Information
1,Gender,0.21766010666061408
2,Pclass,0.08383104529601182
4,SibSp,0.03346632133870964
3,Embarked,0.024047090707960184
5,Parch,0.023610547633470702
0,Age,0.011279416223703098
